Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1500,256,4,1089,254.46,0.000%,455.51169,172.15,76.51,387.0
TOTAL,1500,256,4,1089,254.46,0.000%,455.51169,172.15,76.51,387.0
